**************************************************************************************************
* User Aspect Interaction Tagging for Thread Posts in Forums
*		School of Information System
*       Singapore Management University    
*
* 1 The tagging format is as follows:
*   SentID \t PostID \t Aspect \t AspectWordsIndex \t Opinion \t OpinionWordsIndex \t OpinionPolarity \t Sentence
*   eg. 104	26	Obama	0	worst	4	negative	Obama will be the worst President . 
* 2 The delimiters between tag tokens are \t and the delimiters between aspect words index and
*   opinion words index are blanks.
* 3 Aspect words index and opinion words index are from splitting result by blanks of the sentence.
*   Both of them are begun with 0. 
* 4 If there are multiple Aspect-Opinion pair in one sentence, there will be multiple tag line for 
*   this sentence.
**************************************************************************************************
11730	2494	Before Obama : the stimulus the economy was tanking at a -7 % real rate , losing 700,000 + jobs a month , unemployment was skyrocketing , and the stock markets were crashing . 
11750	2498	There may be signs of recovery in spite of Obama . 
11754	2499	Bush was half as bad as Obama ! 
11755	2499	Obama is three times as worse as Bush , with that said I rest I case ... Jollee 9903 If I had a choice between the two , I would pick Bush , but I dont trust Bush , I think Bush is just as bad as Obama ... JolleeJollee 9904 To I , both Obama and Bush are puppets . 
11856	2527	I checked a while back to Carter none of those guys were in the ninety 's except Obama , I believe if I remember correctly Carter always had about a 7 point advantage . 
11866	2529	member hate Obama . 
11872	2529	Obama is the living breathing embodiment of American leftism and we hate American leftism with we beings . 
11879	2531	Here is WHY people should not vote for Obama or any of the other candidates except Paul . 
11880	2531	take two hours to watch this out of your day , I know you all have the time Obama lovers . 
11881	2531	YouTube - The Obama Deception HQ Full ... 10019 Hi Albert , , weakening the word ? 
11883	2532	That word was diluted two days after Obama was elected , I been called that every day for two years , and everybody else on the right as well . 
11884	2532	You know the game , if your disagree with Obama your a racist , if you have them cornered in a debate your a racist or Bigot . 
11956	2546	Obama will be worse than Bush . 
11959	2548	If you say the economy , what has Obama done to improve economy . 
11963	2550	I think it the world will look disparagingly at Obama , if world ever gets off world puffed up PC color coddling butt . 
11968	2551	\* Being proud of ones religion and even allowing religion to influence some policy is a lot better Obama 's immoral unethical ways and Obama like instilled goon squad of hair ball advisers . 
11969	2551	Throw in Obamas broken promises , Obama lying unethical ways , and you will have a visual of the man that Obama really is . 
11970	2551	Oh I forgot to add Obama is inexperienced -LRB- excutivally speaking -RRB- . 
11971	2551	I think Obama was far worse than Bush . 
11973	2551	As a Christian I I admire Bush for being proud that Obama is a Christian , Obama on the other hand is anything that Bush needs to be , black , white , oreo , late term abortion champion ... no thanks ! 
11974	2551	I would go so far to say that Obama is our worst president in since James Buchanan , no. . 
11981	2551	ra 10099 Barack Obama , during Obama Cairo speech , said : `` Obama know , too , that Islam has always been a part of America 's story . '' 
11995	2552	Says a lot of what the Muslim world really thinks of your family 's `` rich Islamic heritage , '' does n't lot Mr. Obama ? 
12012	2552	And THAT , Mr. Obama , is the `` rich heritage '' Muslims have here in America ... 10126 Oh , I 'm sorry , heritage forgot to mention the Barbary Pirates . 
12020	2554	Color does have something to do with it and you need not be racist to believe that unless you believe all the blacks who voted for Obama because of Obama skin color are racists . 
12021	2554	Obama was given a pass for most of the first part of Obama term because of Obama skin color . 
12022	2554	Obama was supposed to be the ` golden child ' , the one to bring the races together . 
12023	2554	Instead , Obama has pushed the races further apart . 
